KeyName,phone_number,address,locality,corporate_name
Ven1538,(868)968-2357,Address34860,Locality209235,CorporateName769615
Ven1520,(551)111-7625,Address264304,Locality46500,CorporateName616481
Ven1521,(753)107-5489,Address204584,Locality758227,CorporateName317660
Ven1522,(793)461-3565,Address412081,Locality114211,CorporateName33371
Ven1523,(780)956-5416,Address218271,Locality356492,CorporateName923011
Ven1524,(770)690-9179,Address941288,Locality303457,CorporateName726134
Ven1525,(669)716-4624,Address395426,Locality831296,CorporateName506774
Ven1526,(617)314-2170,Address398160,Locality448814,CorporateName373693
Ven1527,(151)681-7397,Address602707,Locality161394,CorporateName231609
Ven1528,(988)581-1964,Address14663,Locality307111,CorporateName674495
Ven1529,(243)192-4159,Address712052,Locality558848,CorporateName861746
Ven1519,(168)368-9807,Address495146,Locality453519,CorporateName883600
Ven1518,(360)498-1400,Address543297,Locality324314,CorporateName178400
Ven1515,(119)855-6328,Address567743,Locality73790,CorporateName400019
Ven1514,(408)106-4534,Address205544,Locality619581,CorporateName381389
Ven1517,(944)332-5265,Address815916,Locality293037,CorporateName499409
Ven1516,(573)269-7400,Address873028,Locality947459,CorporateName428934
Ven1511,(320)597-3039,Address61629,Locality145147,CorporateName616536
Ven1510,(164)896-6513,Address181330,Locality459905,CorporateName23043
Ven1513,(805)142-3434,Address179019,Locality475551,CorporateName455713
Ven1512,(824)941-5801,Address437196,Locality977710,CorporateName800673
Ven1595,(715)379-2591,Address718540,Locality619663,CorporateName346952
Ven1594,(977)345-7022,Address486265,Locality596072,CorporateName513042
Ven1597,(111)741-6516,Address932901,Locality763234,CorporateName567439
Ven1596,(296)518-6611,Address125005,Locality177053,CorporateName312751
Ven1591,(384)293-2219,Address457408,Locality446396,CorporateName893584
Ven1590,(495)930-5799,Address209120,Locality400672,CorporateName583525
Ven1593,(635)581-2407,Address752980,Locality291024,CorporateName389083
Ven1592,(974)777-2101,Address944472,Locality632717,CorporateName142187
Ven1599,(213)465-4449,Address719277,Locality991713,CorporateName32768
Ven1598,(278)390-5612,Address399383,Locality255685,CorporateName317170
Ven1508,(689)561-2430,Address123147,Locality600742,CorporateName571537
Ven1509,(429)801-2200,Address544829,Locality624664,CorporateName898679
Ven1502,(600)153-2411,Address517066,Locality426225,CorporateName674612
Ven1503,(257)907-3626,Address202664,Locality747280,CorporateName149590
Ven1500,(412)948-3497,Address137557,Locality63957,CorporateName429459
Ven1501,(407)785-9400,Address412181,Locality209784,CorporateName782726
Ven1506,(385)766-3655,Address212900,Locality803972,CorporateName997040
Ven1507,(656)234-8623,Address424010,Locality654716,CorporateName689752
Ven1504,(254)143-5800,Address583176,Locality856900,CorporateName937059
Ven1505,(350)668-1104,Address355760,Locality811896,CorporateName391263
Ven1582,(470)328-1040,Address206290,Locality223758,CorporateName68430
Ven1583,(349)182-1640,Address623421,Locality235191,CorporateName336705
Ven1580,(837)545-8674,Address824605,Locality182367,CorporateName851972
Ven1581,(748)422-8300,Address178406,Locality324508,CorporateName469214
Ven1586,(386)822-8985,Address502715,Locality626449,CorporateName145987
Ven1587,(920)398-2941,Address939410,Locality857047,CorporateName835056
Ven1584,(857)567-5924,Address133338,Locality836087,CorporateName588902
Ven1585,(359)601-5513,Address380054,Locality855692,CorporateName176897
Ven1588,(242)221-1721,Address10099,Locality320776,CorporateName421507
Ven1589,(831)812-5344,Address724337,Locality723722,CorporateName691361
